 2016-02-26 08:44:24,454 [P4672/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.0 application starting on BOGDANHOSSU366D
 2016-02-26 08:44:24,611 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-02-26 08:44:24,658 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 44ms)
 2016-02-26 08:44:24,720 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-02-26 08:44:25,111 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 376ms)
 2016-02-26 08:44:25,392 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-02-26 08:44:25,392 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2016-02-26 08:44:25,392 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-02-26 08:44:25,392 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2016-02-26 08:44:25,423 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-02-26 08:44:25,423 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 2ms)
 2016-02-26 08:44:25,423 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-02-26 08:44:25,439 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 14ms)
 2016-02-26 08:44:25,751 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-02-26 08:44:25,751 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2016-02-26 08:44:25,767 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-02-26 08:44:25,767 [P4672/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 8ms)
 2016-02-26 08:44:27,626 [P4672/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-26 08:44:28,142 [P4672/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-26 08:44:28,283 [P4672/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-26 08:44:28,329 [P4672/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-02-26 08:44:28,579 [P4672/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-02-26 08:44:28,751 [P4672/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-02-26 08:44:28,783 [P4672/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4489ms)
 2016-02-26 08:44:33,939 [P4672/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50088/umbraco (UmbracoModule request)
 2016-02-26 08:47:10,957 [P4832/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.0 application starting on BOGDANHOSSU366D
 2016-02-26 08:47:11,020 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-02-26 08:47:11,051 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 34ms)
 2016-02-26 08:47:11,129 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-02-26 08:47:11,473 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 349ms)
 2016-02-26 08:47:11,489 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-02-26 08:47:11,489 [P4832/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 5ms)
