 2016-03-19 11:51:51,085 [P6096/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.1 application starting on FREIROBERTA028
 2016-03-19 11:51:51,204 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-03-19 11:51:51,216 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 12ms)
 2016-03-19 11:51:51,360 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-03-19 11:51:51,633 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 273ms)
 2016-03-19 11:51:51,790 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-03-19 11:51:51,791 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-03-19 11:51:51,791 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-03-19 11:51:51,793 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-03-19 11:51:51,804 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-03-19 11:51:51,827 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 23ms)
 2016-03-19 11:51:51,828 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-03-19 11:51:51,836 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 8ms)
 2016-03-19 11:51:52,025 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-03-19 11:51:52,026 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-03-19 11:51:52,026 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-03-19 11:51:52,026 [P6096/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-03-19 11:51:52,918 [P6096/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-19 11:51:53,158 [P6096/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-19 11:51:53,160 [P6096/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-03-19 11:51:53,270 [P6096/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
